hx,hy,hz
0.0,0.0,1.0
0.0012296589057623564,-0.00010086196174663849,0.9999992388826304
0.0024568424366706084,-0.00019938722804935268,0.9999969620803729
0.0036800421767816476,-0.00029436935043328466,0.9999931852949112
0.004897563352152232,-0.0003845615467974217,0.999987932920007
0.0061077154134962786,-0.0004687551240225068,0.9999812378645219
0.0073090225011723095,-0.0005459067050054896,0.9999731397272363
0.008500381123684526,-0.0006152787190230899,0.9999636818169199
0.009681093348208545,-0.0006765530526662975,0.9999529082449584
0.010850768374028421,-0.0007299047294681458,0.9999408622837548
0.01200914334680273,-0.0007761102489974117,0.999927586442617
0.013155891383985695,-0.0008166374574244496,0.9999131240388617
0.014290553367717482,-0.0008536015306047605,0.9998975204734091
0.015412585674868898,-0.000889577255566609,0.9998808233260208
0.016521503691421233,-0.0009274160880430429,0.999863080534117
0.017616919140639002,-0.0009701206497046646,0.9998443393978471
0.018698488603442625,-0.0010205213256298468,0.9998246471557755
0.01976625938760138,-0.0010808377296705706,0.9998040441904725
0.020821164390294016,-0.0011524853424965112,0.9997825518036249
0.021865085421676426,-0.0012361970132870608,0.9997601661680902
0.022900455837535392,-0.0013323705017748541,0.9997368623349242
0.023929638652930817,-0.001441253720536275,0.9997126062932553
0.024954332738751937,-0.0015627531519956921,0.9996873706715264
0.025975279431874193,-0.0016963583391446987,0.9996611462024626
0.02699235069609247,-0.0018414140427111328,0.9996339441006505
0.028004779585812652,-0.0019973099769743496,0.9996057938373537
0.02901141588299953,-0.002163274200072828,0.999576739421841
0.030010939024735707,-0.0023380668864579506,0.9995468358121535
0.03100200623308806,-0.0025201412323508166,0.9995161451911082
0.031983506327102666,-0.002708230598993263,0.9994847276522273
0.03295495885140702,-0.002901751850802807,0.9994526254522015
0.03391679064488281,-0.003100908868485866,0.9994198495509986
0.034870186230538606,-0.00330664922779683,0.9993863798267074
0.03581657358846114,-0.0035203989899911187,0.9993521800883479
0.03675702721343278,-0.0037435614337049733,0.9993172202550215
0.03769198802110891,-0.003976953211784913,0.9992814908133584
0.03862148952564997,-0.00422060206831495,0.9992449985188823
0.0395454304868136,-0.0044739493895060165,0.9992077575281693
0.04046363126697758,-0.004736160229700949,0.9991697870387038
0.041376017863109765,-0.005006291665276789,0.9991311036043038
0.04228292761936105,-0.005283262400765415,0.9990917080880717
0.04318516307141101,-0.005565756376788835,0.9990515822751346
0.044083823952943156,-0.005852056153872879,0.9990106955906218
0.044980084481666585,-0.006140032089291359,0.9989690145374703
0.04587494091583952,-0.006427420523802732,0.9989265128433514
0.046769021970047286,-0.006712191551867038,0.9988831788895719
0.04766252068270977,-0.00699290418154368,0.9988390177667661
0.048555210835249774,-0.007269000000482661,0.9987940494114579
0.04944651998199627,-0.007540874052436285,0.9987483050699989
0.05033555251238728,-0.007809651865083149,0.9987018281203951
0.05122107990224556,-0.008076860355224083,0.9986546777041851
0.05210174840090428,-0.008344146739176663,0.9986069211800829
0.05297633161920524,-0.008613069282327196,0.9985586228788522
0.053843869452930314,-0.008884928749399917,0.9985098375897224
